Interaction_ID,User_ID,Object_Type,Object_ID,Interaction_Type,Interaction_Rating,Timestamp
130,75,Planet,63,View,,2025-11-06 19:36:10.037794
131,52,Moon,48,Click,,2025-11-13 22:11:11.766119
132,74,Star,24,Favorite,,2025-10-18 16:06:26.610841
133,77,Planet,69,View,,2025-11-15 13:40:47.262942
134,46,Planet,41,Favorite,,2025-11-04 04:16:19.714742
135,100,Planet,64,View,,2025-11-16 23:39:53.611473
136,16,Star,96,View,,2025-11-14 08:53:14.467529
137,49,Star,70,View,,2025-11-14 00:03:50.075396
138,87,Moon,100,Click,,2025-11-03 16:15:10.903718
139,50,Star,186,Click,,2025-11-09 15:17:23.954774
140,100,Star,74,Click,,2025-11-16 09:30:49.511999
141,49,Star,112,Click,,2025-11-15 09:04:04.093140
142,46,Planet,41,Click,,2025-11-05 06:46:39.349210
143,55,Star,43,Click,,2025-11-13 16:14:23.486455
144,72,Moon,74,View,,2025-10-18 18:30:26.612713
145,98,Star,107,View,,2025-11-14 08:19:50.190593
146,43,Moon,65,View,,2025-11-17 17:24:59.909395
147,17,Planet,27,View,,2025-10-25 08:24:03.222204
148,7,Moon,8,View,,2025-11-14 17:48:27.264180
149,82,Moon,59,View,,2025-11-16 16:00:50.037354
150,40,Star,68,Click,,2025-11-17 23:40:30.599913
151,26,Star,25,View,,2025-10-19 11:10:26.613350
152,67,Planet,10,View,,2025-11-07 23:12:40.881159
153,55,Moon,53,Rate,5.0,2025-11-01 09:28:33.149010
154,99,Star,59,View,,2025-11-05 22:56:08.506844
155,50,Star,186,Click,,2025-11-12 19:15:58.311808
156,66,Star,124,View,,2025-10-27 07:05:30.546911
157,54,Star,5,View,,2025-11-01 03:33:06.558140
158,63,Star,93,Rate,3.0,2025-11-09 10:11:16.711256
159,16,Star,108,View,,2025-10-20 14:01:08.592568
160,69,Star,39,Click,,2025-10-18 16:05:26.614351
161,46,Star,103,Click,,2025-11-13 19:19:37.749180
162,53,Planet,9,Click,,2025-11-12 22:31:04.357456
163,48,Planet,78,Rate,5.0,2025-11-16 10:39:55.587248
164,81,Moon,87,View,,2025-10-26 20:07:03.238763
165,66,Star,18,View,,2025-10-26 14:43:53.474279
166,14,Moon,44,View,,2025-11-05 10:47:23.704595
167,86,Moon,48,Favorite,,2025-11-14 19:28:01.091803
168,80,Planet,48,Click,,2025-11-01 22:06:36.895108
169,84,Star,90,Click,,2025-11-08 03:52:45.478893
170,46,Star,13,View,,2025-11-03 03:47:57.355623
171,82,Star,199,Click,,2025-10-29 00:11:12.159711
172,65,Star,138,Favorite,,2025-11-15 19:29:20.964130
173,56,Star,158,Rate,5.0,2025-11-10 10:29:32.568826
174,26,Moon,55,Click,,2025-11-12 08:01:47.642481
175,84,Planet,76,View,,2025-11-02 20:48:56.511046
176,79,Star,5,View,,2025-11-17 12:37:57.288915
177,60,Moon,70,View,,2025-11-13 11:39:33.528268
178,31,Star,142,Rate,1.0,2025-11-12 08:03:29.837160
179,94,Star,130,Rate,5.0,2025-10-24 17:35:16.616540
180,100,Moon,50,Click,,2025-11-15 11:43:34.896865
181,15,Star,83,View,,2025-11-17 16:48:53.995650
182,87,Star,110,View,,2025-11-13 14:00:07.727508
183,68,Star,6,Rate,3.0,2025-11-16 12:16:46.841025
184,82,Planet,81,View,,2025-11-15 02:34:06.482920
185,68,Planet,69,Click,,2025-11-12 23:44:59.748486
186,49,Moon,13,Favorite,,2025-11-09 04:20:38.050967
187,4,Star,126,View,,2025-11-12 05:35:58.849924
188,86,Star,7,Click,,2025-11-11 07:03:32.084215
189,63,Moon,78,View,,2025-11-10 18:30:25.217985
190,89,Star,87,View,,2025-11-10 21:50:45.775888
191,78,Star,56,View,,2025-11-14 10:57:34.129977
192,22,Star,157,View,,2025-11-15 19:20:13.148962
193,38,Planet,8,Click,,2025-11-06 12:31:28.488267
194,38,Moon,88,Click,,2025-10-29 02:03:32.799577
195,44,Moon,72,Click,,2025-11-13 08:47:34.832667
196,29,Star,145,Favorite,,2025-11-06 09:23:04.243095
197,87,Star,110,Click,,2025-11-08 13:37:01.595990
198,37,Star,27,View,,2025-10-28 03:44:12.986017
199,27,Planet,94,Favorite,,2025-11-08 18:58:35.337596
200,100,Star,74,Click,,2025-11-13 00:20:35.494909
201,68,Moon,16,Favorite,,2025-11-16 20:14:42.122977
202,26,Planet,11,Click,,2025-11-05 09:30:27.672169
203,82,Moon,67,Click,,2025-11-02 11:13:16.222682
204,53,Moon,92,Favorite,,2025-11-15 09:24:31.176378
205,29,Moon,49,View,,2025-11-10 13:50:45.698035
206,97,Star,128,View,,2025-11-16 03:13:44.336556
207,67,Star,5,View,,2025-11-07 04:01:47.044606
208,21,Star,199,View,,2025-11-15 10:57:12.569873
209,38,Star,48,View,,2025-10-19 08:36:26.617350
210,66,Star,40,Favorite,,2025-11-17 00:22:39.174066
211,1,Moon,49,Click,,2025-11-10 02:03:34.376472
212,45,Star,85,Click,,2025-10-18 19:25:26.617350
213,68,Star,6,Favorite,,2025-11-14 19:00:19.671009
214,1,Moon,49,Rate,2.0,2025-11-07 21:05:36.112222
215,11,Moon,24,Favorite,,2025-11-08 18:29:18.563553
216,1,Moon,49,Click,,2025-11-10 09:21:13.406369
217,30,Moon,3,View,,2025-10-25 22:36:18.808617
218,33,Moon,4,View,,2025-11-15 05:39:40.385758
219,48,Moon,65,View,,2025-11-15 12:44:37.670255
220,91,Planet,60,Click,,2025-11-15 11:20:58.562923
221,66,Planet,51,Click,,2025-11-08 14:37:13.505016
222,58,Star,155,Favorite,,2025-11-10 22:51:32.140948
223,19,Star,63,Favorite,,2025-11-09 12:51:24.527689
224,76,Moon,4,Click,,2025-11-16 07:26:28.236629
225,23,Planet,90,View,,2025-10-18 21:43:26.618351
226,56,Star,35,Favorite,,2025-11-07 23:45:37.222797
227,76,Star,171,View,,2025-10-24 08:28:22.009561
228,59,Star,37,Click,,2025-11-16 04:22:06.820624
229,18,Star,91,Click,,2025-11-16 12:02:11.442591
230,74,Planet,49,Favorite,,2025-11-16 22:28:41.930188
231,30,Moon,4,Favorite,,2025-11-12 07:14:33.147407
232,50,Moon,65,View,,2025-11-14 22:04:54.721732
233,69,Planet,42,View,,2025-11-18 08:34:47.450777
234,81,Planet,76,View,,2025-11-18 04:19:27.282422
235,98,Planet,38,Click,,2025-11-13 03:33:01.702121
236,46,Planet,41,Favorite,,2025-11-13 17:57:35.631422
237,64,Star,1,Favorite,,2025-11-18 04:20:47.369672
238,91,Star,68,View,,2025-10-24 04:25:33.376822
239,45,Star,85,View,,2025-11-12 23:49:47.690448
240,54,Star,5,View,,2025-11-16 05:07:04.959562
241,58,Star,5,Click,,2025-11-17 12:52:21.586278
242,26,Moon,79,View,,2025-11-10 16:20:57.245858
243,74,Planet,20,Click,,2025-11-06 18:46:19.383475
244,41,Moon,72,Click,,2025-11-14 10:40:03.249287
245,50,Moon,65,Favorite,,2025-11-08 02:58:39.012355
246,87,Planet,54,View,,2025-11-14 19:21:49.157550
247,13,Star,106,Click,,2025-11-17 21:31:50.191595
248,48,Moon,60,Favorite,,2025-11-13 21:57:15.808679
249,65,Moon,12,Click,,2025-10-19 21:51:42.947627
250,56,Moon,12,View,,2025-10-19 14:16:26.619370
251,95,Planet,30,View,,2025-11-15 12:22:11.735997
252,95,Moon,10,View,,2025-11-13 19:55:07.854468
253,49,Planet,63,Rate,5.0,2025-11-01 10:44:39.644172
254,19,Star,63,Click,,2025-11-15 15:51:39.429276
255,43,Moon,19,View,,2025-11-08 00:43:46.736634
256,18,Planet,98,Click,,2025-11-15 09:59:11.797489
257,99,Star,59,Click,,2025-11-17 05:18:18.351950
258,66,Moon,38,Favorite,,2025-11-06 12:58:11.375677
259,83,Planet,42,Click,,2025-11-16 05:46:02.106899
260,77,Planet,69,View,,2025-11-07 07:06:36.744455
261,89,Moon,73,View,,2025-11-17 02:03:57.342512
262,53,Star,133,Favorite,,2025-11-09 00:17:34.941745
263,76,Star,41,View,,2025-11-17 02:56:30.257599
264,48,Star,154,Click,,2025-10-29 22:50:28.924159
265,94,Star,69,View,,2025-11-08 19:11:21.358111
266,51,Star,78,Click,,2025-11-03 13:53:45.270698
267,61,Planet,69,Click,,2025-11-18 02:34:33.175283
268,91,Planet,60,Click,,2025-11-10 07:54:39.481885
269,38,Star,127,View,,2025-11-16 21:37:55.155183
270,91,Planet,58,View,,2025-10-23 11:05:35.772103
271,83,Star,168,Click,,2025-11-16 01:18:16.239933
272,73,Planet,44,Favorite,,2025-10-27 05:23:41.223065
273,100,Star,130,Click,,2025-11-02 14:11:05.292909
274,65,Moon,1,View,,2025-11-07 13:06:16.338928
275,68,Moon,16,View,,2025-11-17 06:19:06.693072
276,37,Planet,17,View,,2025-11-17 12:29:24.978634
277,95,Moon,10,Click,,2025-11-17 16:25:59.122410
278,93,Moon,8,Rate,3.0,2025-11-16 13:04:16.198069
279,10,Planet,69,Favorite,,2025-11-16 08:30:17.120883
280,37,Star,51,Favorite,,2025-11-15 23:43:05.322717
281,8,Star,166,Click,,2025-11-16 08:40:26.269988
282,88,Moon,48,View,,2025-11-03 02:45:51.148050
283,55,Star,181,View,,2025-11-07 20:26:53.268220
284,90,Moon,14,View,,2025-11-01 08:28:20.109889
285,87,Moon,68,View,,2025-11-13 09:31:56.716380
286,59,Planet,56,Click,,2025-11-13 22:26:21.860562
287,21,Planet,25,View,,2025-11-02 14:51:53.543886
288,39,Star,97,View,,2025-11-09 04:35:57.942396
289,23,Star,10,Click,,2025-11-17 19:36:34.162757
290,36,Star,9,View,,2025-10-28 17:13:48.870293
291,33,Star,144,Favorite,,2025-11-05 14:57:35.173393
292,61,Planet,69,View,,2025-10-27 01:28:25.589600
293,27,Planet,94,View,,2025-11-16 02:28:45.193408
294,84,Star,125,View,,2025-11-17 23:01:45.751163
295,56,Moon,99,Click,,2025-11-11 02:40:46.433900
296,58,Planet,71,View,,2025-11-15 11:06:51.872102
297,52,Star,189,Click,,2025-11-15 22:19:14.127478
298,53,Moon,73,Click,,2025-11-14 23:15:41.245326
299,59,Star,183,View,,2025-11-17 06:14:08.589656
300,22,Star,177,View,,2025-11-01 14:18:31.533723
301,15,Planet,44,Rate,5.0,2025-11-12 03:46:45.847506
302,74,Moon,56,Favorite,,2025-11-13 15:42:07.786813
303,31,Planet,94,Favorite,,2025-11-06 04:02:26.638505
304,65,Star,132,View,,2025-11-17 02:57:47.445795
305,13,Planet,83,Click,,2025-11-14 06:29:45.430412
306,44,Star,154,View,,2025-11-01 11:59:11.274387
307,97,Planet,19,Click,,2025-11-14 01:37:12.500125
308,10,Planet,20,View,,2025-11-17 09:31:24.830031
309,39,Planet,14,Favorite,,2025-11-14 01:33:36.395510
310,25,Planet,62,Favorite,,2025-11-16 18:08:30.461975
311,23,Moon,39,Click,,2025-11-13 00:44:17.473459
312,24,Star,138,View,,2025-11-14 04:07:20.266890
313,18,Star,96,Favorite,,2025-11-09 10:44:04.251392
314,97,Planet,28,View,,2025-10-21 18:00:35.740555
315,17,Star,62,View,,2025-11-10 09:25:34.007436
316,8,Moon,46,Rate,2.0,2025-11-06 16:12:24.396014
317,96,Moon,67,Click,,2025-10-28 20:22:15.419505
318,63,Star,93,Favorite,,2025-11-11 14:28:15.293453
319,75,Planet,76,View,,2025-11-04 19:49:56.316863
320,43,Moon,65,Favorite,,2025-11-06 18:15:32.100648
321,22,Star,117,Favorite,,2025-11-11 16:46:11.800663
322,24,Star,57,Rate,5.0,2025-10-19 01:01:26.624357
323,42,Planet,35,View,,2025-10-23 17:12:16.349487
324,67,Planet,22,Rate,4.0,2025-11-14 00:44:13.874414
325,24,Star,34,View,,2025-11-05 17:45:31.119764
326,63,Star,93,Click,,2025-11-04 05:41:29.075849
327,10,Planet,51,Click,,2025-10-27 16:39:24.455650
328,18,Star,171,Favorite,,2025-11-07 10:47:06.067549
329,56,Star,153,View,,2025-10-18 17:09:26.624357
330,66,Planet,81,Click,,2025-11-10 15:46:30.515937
331,71,Star,58,View,,2025-11-03 19:28:03.805735
332,94,Star,113,View,,2025-11-12 16:23:38.136488
333,3,Star,10,Click,,2025-11-14 01:40:07.478493
334,82,Planet,66,Click,,2025-11-16 01:14:56.929950
335,96,Planet,72,View,,2025-11-07 01:52:51.248544
336,83,Moon,73,View,,2025-11-15 22:56:49.953308
337,56,Star,64,View,,2025-11-12 23:02:22.175414
338,35,Planet,46,Click,,2025-11-03 16:37:49.809653
339,93,Planet,91,Favorite,,2025-11-15 19:39:48.046593
340,38,Moon,36,Click,,2025-11-17 20:10:37.985008
341,16,Star,124,Click,,2025-11-11 13:12:50.290650
342,22,Moon,89,View,,2025-11-14 04:16:54.050474
343,100,Star,130,Click,,2025-11-08 15:16:29.985570
344,91,Moon,39,View,,2025-11-15 04:23:35.059588
345,63,Star,36,View,,2025-10-31 00:34:17.173592
346,96,Star,96,Click,,2025-11-07 01:05:07.694134
347,62,Star,107,View,,2025-10-18 20:13:26.625354
348,37,Moon,29,Click,,2025-10-30 11:42:23.493037
349,46,Moon,97,Click,,2025-11-04 17:45:28.301154
350,80,Planet,38,Click,,2025-11-06 12:49:42.135793
351,97,Star,128,View,,2025-11-17 18:39:28.624184
352,99,Star,147,Click,,2025-11-15 02:31:44.379765
353,21,Star,137,Favorite,,2025-10-31 15:38:31.949862
354,66,Star,124,View,,2025-11-13 14:49:32.535389
355,39,Moon,64,Click,,2025-11-01 00:23:15.471655
356,13,Planet,90,View,,2025-11-11 20:07:36.058837
357,15,Planet,25,Click,,2025-11-05 07:23:12.605875
358,100,Planet,64,Click,,2025-11-16 00:07:16.840694
359,37,Star,73,Click,,2025-11-16 10:14:11.478698
360,73,Planet,10,Click,,2025-11-02 12:57:13.948767
361,14,Moon,45,View,,2025-11-14 09:29:44.585752
362,40,Star,68,View,,2025-11-16 10:14:28.183631
363,96,Star,34,Click,,2025-11-12 14:08:56.087675
364,4,Star,140,View,,2025-11-16 08:41:28.400674
365,24,Star,198,Click,,2025-11-04 09:04:02.885736
366,76,Star,178,View,,2025-11-10 06:10:31.091474
367,64,Planet,17,Click,,2025-11-14 00:08:10.243985
368,65,Planet,59,View,,2025-11-11 05:23:04.419809
369,76,Moon,81,Favorite,,2025-11-13 14:12:18.379316
370,38,Planet,31,View,,2025-11-05 08:43:05.464601
371,61,Star,102,Click,,2025-11-10 03:58:06.506000
372,86,Planet,52,View,,2025-11-14 00:18:46.408329
373,30,Moon,4,View,,2025-10-18 23:44:26.626353
374,44,Planet,53,Click,,2025-11-15 02:55:34.601779
375,1,Planet,29,View,,2025-11-14 22:23:19.700595
376,75,Moon,36,Click,,2025-10-18 21:54:26.627872
377,25,Moon,84,View,,2025-11-17 02:21:32.354555
378,49,Star,12,View,,2025-10-29 10:36:32.019813
379,51,Star,47,View,,2025-11-06 06:09:38.061492
380,98,Planet,36,View,,2025-11-01 21:40:44.183723
381,96,Star,70,Favorite,,2025-11-10 10:30:30.674080
382,64,Star,33,Click,,2025-10-28 11:19:15.914929
383,9,Star,18,View,,2025-11-16 07:26:37.000638
384,38,Star,100,Click,,2025-11-04 05:06:58.556530
385,9,Star,134,View,,2025-11-07 05:49:35.516518
386,81,Planet,97,Click,,2025-11-10 22:13:51.800701
387,35,Star,173,View,,2025-11-12 02:36:41.754330
388,88,Star,8,Click,,2025-11-11 01:29:32.926762
389,17,Star,62,Favorite,,2025-10-25 10:04:11.601790
390,34,Star,161,View,,2025-11-08 05:44:20.265696
391,82,Planet,90,View,,2025-11-14 08:46:02.676211
392,45,Planet,41,View,,2025-11-17 19:20:36.823477
393,37,Star,127,Favorite,,2025-11-14 05:02:59.189393
394,2,Star,101,Click,,2025-10-26 20:06:46.851422
395,46,Moon,97,View,,2025-11-13 20:13:35.409910
396,82,Planet,62,View,,2025-11-13 01:25:20.242861
397,68,Moon,55,View,,2025-10-18 17:16:26.628729
398,25,Star,88,View,,2025-11-10 14:04:33.007600
399,96,Star,102,Click,,2025-11-11 06:20:49.916715
400,80,Planet,60,Favorite,,2025-10-28 01:23:39.558309
401,27,Star,147,View,,2025-11-16 10:54:16.543682
402,22,Star,166,Favorite,,2025-11-12 00:19:49.146827
403,60,Moon,62,View,,2025-10-30 23:07:12.744706
404,67,Star,70,Click,,2025-11-15 02:05:02.575006
405,39,Star,97,View,,2025-11-10 15:42:38.726771
406,12,Star,19,View,,2025-11-14 20:42:47.788682
407,62,Moon,5,Click,,2025-10-23 05:11:38.033880
408,3,Star,10,Click,,2025-11-15 18:01:57.231214
409,37,Star,23,Click,,2025-11-09 05:38:57.571186
410,12,Moon,5,View,,2025-11-12 13:16:54.632553
411,1,Star,168,Click,,2025-11-16 10:13:11.371008
412,73,Moon,12,View,,2025-11-12 14:45:44.708644
413,40,Star,11,View,,2025-10-19 00:21:26.629882
414,49,Planet,12,Click,,2025-11-14 21:01:48.869294
415,54,Moon,26,View,,2025-10-19 09:29:26.629882
416,31,Star,60,View,,2025-11-17 10:59:24.441199
417,12,Star,17,Click,,2025-11-07 04:50:09.712816
418,31,Planet,8,Click,,2025-10-21 20:42:09.588460
419,95,Planet,25,View,,2025-10-27 00:04:17.128410
420,78,Planet,73,View,,2025-11-17 18:12:14.606007
421,80,Star,183,Click,,2025-11-17 07:14:11.652918
422,81,Planet,76,Click,,2025-11-11 18:22:00.067396
423,28,Star,190,Favorite,,2025-11-14 11:39:55.947571
424,76,Planet,78,Favorite,,2025-10-23 05:06:14.246953
425,15,Planet,51,View,,2025-11-13 16:10:29.544813
426,94,Star,179,View,,2025-11-11 21:30:47.446189
427,83,Star,81,View,,2025-11-04 16:17:30.028127
428,42,Moon,23,View,,2025-11-15 02:54:39.631107
429,74,Moon,89,View,,2025-11-13 15:18:06.478775
430,34,Star,49,Click,,2025-11-09 23:25:36.539941
431,87,Star,110,Click,,2025-11-09 06:29:08.479164
432,14,Star,43,View,,2025-11-14 09:32:33.575912
433,92,Planet,47,View,,2025-11-08 03:52:05.427929
434,52,Star,159,View,,2025-10-20 16:25:58.380292
435,14,Star,117,Click,,2025-10-21 12:08:33.634233
436,37,Star,123,Favorite,,2025-10-29 00:46:20.861775
437,56,Star,66,View,,2025-11-17 08:05:59.511687
438,10,Star,58,Click,,2025-11-15 14:16:41.038517
439,90,Star,15,View,,2025-11-16 01:44:48.856730
440,22,Moon,91,Click,,2025-11-12 01:25:32.179692
441,73,Planet,80,Click,,2025-11-12 20:51:33.701190
442,81,Star,114,Click,,2025-10-30 20:24:10.419685
443,77,Star,30,View,,2025-11-06 15:44:46.202457
444,13,Planet,83,Click,,2025-11-08 02:09:10.573908
445,65,Star,138,View,,2025-11-11 10:13:37.473476
446,77,Star,65,View,,2025-11-03 10:25:52.390677
447,79,Star,5,View,,2025-10-19 00:57:26.633881
448,71,Star,1,Click,,2025-11-07 21:52:43.976610
449,26,Star,143,Click,,2025-11-02 12:48:28.482879
450,21,Star,137,Click,,2025-11-17 09:04:11.130708
451,77,Planet,50,View,,2025-11-04 13:59:36.129397
452,42,Star,195,View,,2025-11-17 04:56:15.175933
453,45,Planet,47,View,,2025-11-12 21:21:38.833340
454,79,Moon,92,Click,,2025-11-11 21:58:20.065152
455,81,Star,114,View,,2025-11-17 07:34:37.321198
456,85,Star,75,View,,2025-11-14 06:00:19.357854
457,77,Moon,72,View,,2025-10-22 01:39:52.479519
458,49,Star,125,Click,,2025-10-25 12:31:51.994466
459,33,Star,144,Favorite,,2025-11-16 19:27:45.301501
460,92,Star,147,View,,2025-11-17 17:19:19.671775
461,31,Star,131,Click,,2025-10-30 00:27:45.767170
462,63,Planet,94,View,,2025-11-10 07:11:45.212823
463,61,Star,183,Click,,2025-11-14 05:59:25.321407
464,18,Star,128,View,,2025-11-17 19:34:16.086117
465,31,Star,55,Favorite,,2025-11-15 14:08:05.917592
466,36,Moon,44,Click,,2025-11-10 09:17:42.428853
467,94,Planet,74,Favorite,,2025-11-17 08:58:39.665857
468,92,Planet,29,Click,,2025-11-14 19:40:37.533799
469,10,Star,58,View,,2025-11-04 08:16:38.582175
470,84,Planet,45,Click,,2025-11-17 12:31:15.577061
